0,12,ADMIRALTY MRT STATION,NS10,24402.1063,46918.1131,1.440585001,103.8009982,NS,195,NS11
1,16,ALJUNIED MRT STATION,EW9,33518.6049,33190.002,1.316432612,103.882893,EW,151,EW10
2,33,ANG MO KIO MRT STATION,NS16,29807.2655,39105.772,1.369933175,103.8495535,NS,217,NS17
5,153,BARTLEY MRT STATION,CC12,33168.3039,36108.7003,1.342828338,103.8797462,CC,155,CC13
6,115,BAYFRONT MRT STATION,CE1,30867.0093,29368.625,1.281873788,103.8590733,CE,#VALUE!,CE2
7,,BAYFRONT MRT STATION,DT16,30867.0093,29368.625,1.281873788,103.8590733,DT,118,DT17
8,140,BEAUTY WORLD MRT STATION,DT5,21598.1665,35931.2359,1.341223176,103.77581,DT,113,DT6
9,37,BEDOK MRT STATION,EW5,38757.952,34024.7048,1.323979969,103.9299587,EW,198,EW6
10,143,BEDOK NORTH MRT STATION,DT29,37421.7438,35214.6804,1.334742117,103.9179554,DT,136,DT30
11,149,BEDOK RESERVOIR MRT STATION,DT30,39008.3132,35421.0409,1.33660783,103.9322077,DT,144,DT31
12,100,BENCOOLEN MRT STATION,DT21,29899.2575,31247.3368,1.29886427,103.8503799,DT,99,DT22
13,99,BENDEMEER MRT STATION,DT23,31300.8084,32884.7382,1.313672233,103.8629702,DT,122,DT24
14,109,BISHAN MRT STATION,CC15,29762.3507,37046.3699,1.35130868,103.84915,CC,178,CC16
15,158,BISHAN MRT STATION,NS17,29649.8988,36994.433,1.350838988,103.8481398,NS,135,NS18
16,178,BOON KENG MRT STATION,NE9,31157.0712,33517.6089,1.319395706,103.861679,NE,150,NE10
17,34,BOON LAY MRT STATION,EW27,13837.9827,35641.9191,1.338604054,103.7060994,EW,136,EW28
18,185,BOTANIC GARDENS MRT STATION,CC19,25959.4046,33817.7525,1.322110193,103.8149876,CC,147,CC20
19,159,BOTANIC GARDENS MRT STATION,DT9,26087.2663,33852.4484,1.322423979,103.8161362,DT,133,DT10
20,182,BRADDELL MRT STATION,NS18,29500.0972,35848.0687,1.340471684,103.8467942,NS,121,NS19
21,93,BRAS BASAH MRT STATION,CC2,29930.7674,31025.9016,1.296861687,103.8506629,CC,101,CC3
22,183,BUANGKOK MRT STATION,NE15,34655.3132,40537.2069,1.382877858,103.8931042,NE,119,NE16
23,103,BUGIS MRT STATION,DT14,30620.8769,31323.2495,1.299550746,103.8568623,DT,119,DT15
24,111,BUGIS MRT STATION,EW12,30491.5648,31424.3503,1.300465076,103.8557007,EW,127,EW13
25,32,BUKIT BATOK MRT STATION,NS2,18679.3541,36795.0141,1.349034109,103.74959,NS,145,NS3
26,117,BUKIT BROWN MRT STATION,CC18,27707.4166,35102.4802,1.333728882,103.8306903,CC,152,CC19
27,35,BUKIT GOMBAK MRT STATION,NS3,18938.3305,37870.6512,1.358761857,103.7519164,NS,267,NS4
29,171,BUKIT PANJANG MRT STATION,DT1,20011.3981,40108.6838,1.379002117,103.7615559,DT,90,DT2
30,124,BUONA VISTA MRT STATION,CC22,23251.7611,32090.7692,1.306491669,103.7906645,CC,144,CC23
31,28,BUONA VISTA MRT STATION,EW21,23200.36,32167.2655,1.307183467,103.7902028,EW,167,EW22
32,127,CALDECOTT MRT STATION,CC17,28691.2451,35538.768,1.337674508,103.8395281,CC,270,CC18
33,192,CANBERRA MRT STATION,NS12,27597.3086,47196.1838,1.4431,103.8297,NS,153,NS13
34,172,CASHEW MRT STATION,DT2,20362.9591,39043.5835,1.369369831,103.764714,DT,120,DT3
35,180,CHANGI AIRPORT MRT STATION,CG2,45254.8614,37711.015,1.357314545,103.9883212,CG,#VALUE!,
37,132,CHINATOWN MRT STATION,DT19,29238.9683,29686.5359,1.284748969,103.8444484,DT,130,DT20
38,131,CHINATOWN MRT STATION,NE4,29124.9585,29643.4786,1.284359578,103.8434242,NE,112,NE5
39,2,CHINESE GARDEN MRT STATION,EW25,16790.7466,36056.3019,1.342352821,103.7326244,EW,154,EW26
41,19,CHOA CHU KANG MRT STATION,NS4,18097.9271,40811.9589,1.385361693,103.744367,NS,155,NS5
42,95,CITY HALL MRT STATION,EW13,30144.2851,30591.8478,1.292936243,103.852581,EW,131,EW14
43,,CITY HALL MRT STATION,NS25,30144.2851,30591.8478,1.292936243,103.852581,NS,#VALUE!,NS26
44,157,CLARKE QUAY MRT STATION,NE5,29473.1249,30088.7038,1.288386024,103.8465519,NE,136,NE6
45,15,CLEMENTI MRT STATION,EW23,20430.06,33026.6075,1.314954492,103.7653168,EW,294,EW24
46,8,COMMONWEALTH MRT STATION,EW20,24103.2523,31642.6034,1.302438735,103.7983136,EW,135,EW21
50,154,DAKOTA MRT STATION,CC8,34159.2741,32299.8905,1.30838264,103.888648,CC,134,CC9
52,165,DHOBY GHAUT MRT STATION,CC1,29437.9401,31244.9618,1.298842816,103.8462358,CC,88,CC2
53,164,DHOBY GHAUT MRT STATION,NE6,29354.3681,31340.3479,1.299705459,103.8454851,NE,136,NE7
54,144,DHOBY GHAUT MRT STATION,NS24,29424.1448,31229.3143,1.298701307,103.8461119,NS,#VALUE!,NS25
55,29,DOVER MRT STATION,EW22,21914.5509,32634.1186,1.311405293,103.7786522,EW,164,EW23
56,123,DOWNTOWN MRT STATION,DT17,30172.6259,29100.1876,1.27944619,103.8528356,DT,93,DT18
57,125,ESPLANADE MRT STATION,CC3,30469.0566,30634.4621,1.293321608,103.8554985,CC,136,CC4
58,1,EUNOS MRT STATION,EW7,35782.9553,33560.0776,1.319778952,103.9032339,EW,137,EW8
59,18,EXPO MRT STATION,CG1,42270.6232,35193.6223,1.334549778,103.9615134,CG,316,CG2
60,122,EXPO MRT STATION,DT35,42362.7103,35285.6654,1.335382137,103.9623407,DT,#VALUE!,
63,151,FARRER PARK MRT STATION,NE8,30321.3596,32739.6107,1.31235984,103.8541717,NE,125,NE9
64,121,FARRER ROAD MRT STATION,CC20,25136.2263,33309.1617,1.317510612,103.8075929,CC,147,CC21
66,120,FORT CANNING MRT STATION,DT20,29225.2834,30541.2748,1.292478928,103.8443255,DT,102,DT21
67,98,GEYLANG BAHRU MRT STATION,DT24,32293.7994,33750.9518,1.321505838,103.8718904,DT,146,DT25
68,23,GUL CIRCLE MRT STATION,EW30,8772.8552,33530.3675,1.319505215,103.6605988,EW,160,EW31
69,101,HARBOURFRONT MRT STATION,CC29,26678.3445,27555.0595,1.26547264,103.821446,CC,#VALUE!,
70,,HARBOURFRONT MRT STATION,NE1,26678.3445,27555.0595,1.26547264,103.821446,NE,183,NE3
71,161,HAW PAR VILLA MRT STATION,CC25,22267.5675,29442.573,1.282542157,103.7818234,CC,141,CC26
72,136,HILLVIEW MRT STATION,DT3,20666.0676,38266.7899,1.362344869,103.7674369,DT,207,DT5
73,187,HOLLAND VILLAGE MRT STATION,CC21,23868.1442,32681.5744,1.31183479,103.7962016,CC,117,CC22
74,177,HOUGANG MRT STATION,NE14,34572.8759,39256.1311,1.371292292,103.8923636,NE,140,NE15
75,114,JALAN BESAR MRT STATION,DT22,30466.0301,31970.4313,1.305403642,103.8554713,DT,113,DT23
77,38,JOO KOON MRT STATION,EW29,10756.3543,34438.2764,1.327717173,103.6784167,EW,200,EW30
78,20,JURONG EAST MRT STATION,EW24,17869.0806,35038.9472,1.33315262,103.7423112,EW,161,EW25
79,,JURONG EAST MRT STATION,NS1,17869.0806,35038.9472,1.33315262,103.7423112,NS,299,NS2
81,141,KAKI BUKIT MRT STATION,DT28,36362.4224,35239.5458,1.334967302,103.9084393,DT,107,DT29
82,26,KALLANG MRT STATION,EW10,32236.6038,32643.3302,1.31148891,103.8713766,EW,141,EW11
85,31,KEMBANGAN MRT STATION,EW6,36862.1237,33699.3568,1.321038249,103.9129282,EW,137,EW7
86,104,KENT RIDGE MRT STATION,CC24,22581.5421,30650.0972,1.293462633,103.7846438,CC,159,CC25
87,3,KHATIB MRT STATION,NS14,27962.3108,44352.568,1.41738337,103.83298,NS,308,NS15
88,137,KING ALBERT PARK MRT STATION,DT6,22489.8451,35316.6349,1.335665121,103.7838201,DT,130,DT7
89,119,KOVAN MRT STATION,NE13,33758.7578,38027.2795,1.360179171,103.8850503,NE,151,NE14
90,4,KRANJI MRT STATION,NS7,20081.6974,45214.5479,1.425177699,103.7621874,NS,167,NS8
92,130,LABRADOR PARK MRT STATION,CC27,24619.0578,28313.6298,1.272332732,103.8029471,CC,128,CC28
93,39,LAKESIDE MRT STATION,EW26,15494.5171,36267.1619,1.344259249,103.7209802,EW,189,EW27
94,163,LAVENDER MRT STATION,EW11,31284.2589,32186.4342,1.30735702,103.8628215,EW,120,EW12
96,168,LITTLE INDIA MRT STATION,DT12,29698.9692,32168.8611,1.303916484,103.8524167,DT,97,DT13
97,169,LITTLE INDIA MRT STATION,NE7,29817.1982,32124.8312,1.307198223,103.8485807,NE,112,NE8
98,162,LORONG CHUAN MRT STATION,CC14,31431.4054,37079.9444,1.351612171,103.8641434,CC,154,CC15
99,94,MACPHERSON MRT STATION,CC10,34340.0124,34286.1222,1.326345372,103.8902718,CC,138,CC11
100,105,MACPHERSON MRT STATION,DT26,34235.7966,34256.4317,1.326076883,103.8893356,DT,123,DT27
101,129,MARINA BAY MRT STATION,CE2,30423.4296,28735.7843,1.276150637,103.8550886,CE,#VALUE!,
102,128,MARINA BAY MRT STATION,NS27,30368.2057,28766.3819,1.276427355,103.8545925,NS,#VALUE!,NS28
103,150,MARINA SOUTH PIER MRT STATION,NS28,31287.7063,28203.4939,1.271336711,103.8628525,NS,#VALUE!,
104,36,MARSILING MRT STATION,NS8,21406.6874,46025.7686,1.432514421,103.77409,NS,165,NS9
105,160,MARYMOUNT MRT STATION,CC16,28679.3688,36758.7136,1.348707263,103.8394214,CC,131,CC17
106,138,MATTAR MRT STATION,DT25,33556.5834,34344.8585,1.326876715,103.8832341,DT,101,DT26
108,118,MOUNTBATTEN MRT STATION,CC7,33476.5634,32058.7418,1.306201905,103.8825153,CC,99,CC8
109,133,NEWTON MRT STATION,DT11,28499.9628,32877.5173,1.313607102,103.8378098,DT,148,DT12
110,191,NEWTON MRT STATION,NS21,28519.3616,32735.2072,1.3123201,103.8379841,NS,146,NS22
112,126,NICOLL HIGHWAY MRT STATION,CC5,31374.1708,31347.1516,1.299766835,103.8636292,CC,132,CC6
113,147,NOVENA MRT STATION,NS20,29169.3298,33633.1535,1.320440791,103.8438228,NS,149,NS21
115,108,ONE-NORTH MRT STATION,CC23,22896.0731,31346.4085,1.299759879,103.7874693,CC,117,CC24
116,113,ORCHARD MRT STATION,NS22,27880.1256,31813.1134,1.303981012,103.8322417,NS,137,NS23
117,188,OUTRAM PARK MRT STATION,EW16,28646.3739,29316.7727,1.279764543,103.8395732,EW,175,EW17
118,156,OUTRAM PARK MRT STATION,NE3,28696.2602,29135.382,1.28140498,103.839125,NE,120,NE4
119,155,PASIR PANJANG MRT STATION,CC26,23329.2647,28742.7658,1.276213523,103.7913607,CC,158,CC27
120,14,PASIR RIS MRT STATION,EW1,40903.7716,39443.3983,1.372983774,103.9492348,EW,174,EW2
121,152,PAYA LEBAR MRT STATION,CC9,34550.5756,33300.3402,1.317430268,103.8921633,CC,153,CC10
122,9,PAYA LEBAR MRT STATION,EW8,34648.6773,33375.7341,1.318112082,103.8930446,EW,150,EW9
126,7,PIONEER MRT STATION,EW28,12864.9592,35529.4973,1.337586882,103.6973586,EW,205,EW29
127,176,POTONG PASIR MRT STATION,NE10,31977.1677,34842.7289,1.331379525,103.869046,NE,118,NE11
128,184,PROMENADE MRT STATION,CC4,31080.6082,30623.0174,1.293218051,103.8609921,CC,145,CC5
129,102,PROMENADE MRT STATION,DT15,31064.3414,30586.9146,1.292891552,103.860846,DT,136,DT16
131,106,PUNGGOL MRT STATION,NE17,35651.3846,42933.2694,1.404546728,103.902052,NE,#VALUE!,
133,21,QUEENSTOWN MRT STATION,EW19,24946.8083,30804.6785,1.294860933,103.8058913,EW,144,EW20
134,186,RAFFLES PLACE MRT STATION,EW14,30019.1805,29617.6126,1.284125611,103.8514572,EW,100,EW15
135,,RAFFLES PLACE MRT STATION,NS26,30019.1805,29617.6126,1.284125611,103.8514572,NS,#VALUE!,NS27
137,5,REDHILL MRT STATION,EW18,26163.478,30218.8196,1.289562726,103.8168209,EW,150,EW19
140,167,ROCHOR MRT STATION,DT13,30126.0006,31805.9862,1.306800025,103.8496427,DT,94,DT14
145,30,SEMBAWANG MRT STATION,NS11,26522.9883,47854.1998,1.449050821,103.8200504,NS,158,NS12
147,116,SENGKANG MRT STATION,NE16,34918.274,41512.1277,1.391694626,103.8954664,NE,174,NE17
149,145,SERANGOON MRT STATION,CC13,32345.7724,36967.5123,1.350595256,103.8723572,CC,148,CC14
150,148,SERANGOON MRT STATION,NE12,32480.0726,36869.3924,1.349707875,103.8735637,NE,175,NE13
151,10,SIMEI MRT STATION,EW3,41360.6138,36150.3959,1.343202895,103.9533387,EW,247,EW4
152,173,SIXTH AVENUE MRT STATION,DT7,23985.5297,34777.1434,1.330786387,103.7972561,DT,120,DT8
153,112,SOMERSET MRT STATION,NS23,28640.656,31401.6698,1.300260055,103.8390737,NS,118,NS24
156,110,STADIUM MRT STATION,CC6,32677.7526,31687.0547,1.30284063,103.8753395,CC,109,CC7
157,170,STEVENS MRT STATION,DT10,27188.23,33591.6608,1.320065557,103.8260263,DT,132,DT11
159,166,TAI SENG MRT STATION,CC11,34107.1526,35291.0164,1.335433322,103.88818,CC,130,CC12
160,96,TAMPINES EAST MRT STATION,DT33,41501.0749,37586.6178,1.356191483,103.9546005,DT,188,DT34
161,142,TAMPINES MRT STATION,DT32,40213.0284,37463.3697,1.355077429,103.9430298,DT,140,DT33
162,11,TAMPINES MRT STATION,EW2,40445.4297,37266.9909,1.353301356,103.9451175,EW,159,EW3
163,97,TAMPINES WEST MRT STATION,DT31,39698.5276,36406.0143,1.345515305,103.938408,DT,123,DT32
164,134,TAN KAH KEE MRT STATION,DT8,25106.8667,34234.9609,1.325883209,103.8073292,DT,105,DT9
,,TANAH MERAH MRT STATION,CG,,,1.327187135,103.9463161,CG,188,CG1
165,40,TANAH MERAH MRT STATION,EW4,40578.8616,34379.4144,1.327187135,103.9463161,EW,178,EW5
166,107,TANJONG PAGAR MRT STATION,EW15,29396.2311,28776.7576,1.276521247,103.8458611,EW,138,EW16
169,190,TELOK AYER MRT STATION,DT18,29667.6216,29414.5867,1.282289536,103.8482991,DT,87,DT19
170,189,TELOK BLANGAH MRT STATION,CC28,25376.8469,28138.9667,1.270753211,103.8097544,CC,173,CC29
173,135,TIONG BAHRU MRT STATION,EW17,27298.9575,29846.251,1.286193393,103.827021,EW,158,EW18
174,174,TOA PAYOH MRT STATION,NS19,29578.4408,34980.8638,1.332628987,103.8474979,NS,147,NS20
176,25,TUAS CRESCENT MRT STATION,EW31,7495.531,33698.6818,1.321026553,103.6491245,EW,150,EW32
177,22,TUAS LINK MRT STATION,EW33,6138.3115,35848.0658,1.340463766,103.6369324,EW,#VALUE!,
178,27,TUAS WEST ROAD MRT STATION,EW32,6442.6401,34689.7988,1.329989089,103.6396662,EW,145,EW33
179,139,UBI MRT STATION,DT27,35337.7709,34685.4833,1.329956826,103.8992348,DT,117,DT28
180,179,UPPER CHANGI MRT STATION,DT34,42262.0767,35988.4036,1.341737484,103.9614367,DT,107,DT35
181,24,WOODLANDS MRT STATION,NS9,22788.1527,46507.9219,1.436875128,103.7864999,NS,110,NS10
182,181,WOODLANDS MRT STATION,TE2,22949.0322,46418.5578,1.436066981,103.7879451,TE,110,TE3
183,193,WOODLANDS NORTH MRT STATION,TE1,22634.0348,47760.173,1.4482,103.7851,TE,92,TE2
184,175,WOODLANDS SOUTH MRT STATION,TE3,23607.8309,45444.7113,1.427259979,103.7938631,TE,#VALUE!,
185,146,WOODLEIGH MRT STATION,NE11,32173.3186,35706.3794,1.339190046,103.8708081,NE,128,NE12
186,6,YEW TEE MRT STATION,NS5,18438.9791,42158.0124,1.397535018,103.7474307,NS,283,NS7
187,41,YIO CHU KANG MRT STATION,NS15,29294.1283,40413.082,1.381756046,103.8449439,NS,154,NS16
188,13,YISHUN MRT STATION,NS13,28187.6787,45686.0701,1.429443081,103.8350045,NS,174,NS14